COD_UE;DEPARTAMENTO;PROVINCIA;DISTRITO;LATITUD;LONGITUD
1490;AYACUCHO;LA MAR;SANTA ROSA;-12.685778;-73.735540
755;APURIMAC;ABANCAY;ABANCAY;-13.631724;-72.871117
756;APURIMAC;ANDAHUAYLAS;CHIARA;-13.890985;-73.585651
1744;CAJAMARCA;CAJABAMBA;CONDEBAMBA;-7.575341;-78.070521
1712;CAJAMARCA;CAJAMARCA;MAGDALENA;-7.213976;-78.632315
998;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;-6.230793;-77.866165
955;AMAZONAS;BAGUA;IMAZA;-5.040608;-78.429239
848;LA LIBERTAD;TRUJILLO;TRUJILLO;-8.114663;-79.028438
1047;CAJAMARCA;JAEN;JAEN;-5.706214;-78.804711
1683;LIMA;LIMA;SAN JUAN DE LURIGANCHO;-12.004129;-76.995582
141;LIMA;LIMA;SAN JUAN DE MIRAFLORES;-12.160577;-76.959102
1289;LIMA;BARRANCA;PARAMONGA;-10.488205;-77.748803
149;LIMA;LIMA;LIMA;-12.049918;-77.042361
124;LIMA;LIMA;LIMA;-12.051804;-77.055019
1317;CALLAO;CALLAO;BELLAVISTA;;
1318;CALLAO;CALLAO;CARMEN DE LA LEGUA-REYNOSO;-12.042734;-77.098462
1216;LIMA;LIMA;SAN JUAN DE LURIGANCHO;-11.966577;-77.003057
1616;LA LIBERTAD;JULCAN;CALAMARCA;-8.171973;-78.409941
853;LA LIBERTAD;OTUZCO;OTUZCO;-7.905291;-78.565079
1175;UCAYALI;ATALAYA;RAIMONDI;-8.235605;-74.687549
